run,run_code,run_name_cn,combo,threshold_group,applied_threshold,acc,auc,f1,sen,spe,bal_acc,tn,fp,fn,tp,auc_warning,num_hyperedges,use_anatomy_edges,use_prototype_edges,use_mask_aware_classifier,mask_head_type,mask_order,use_mask_aware_node_fusion,use_node_type_embed,no_t1ce_t1_penalty,threshold,avg_gate_t1,avg_gate_t1ce,avg_gate_t2,avg_gate_flair,core_avg_gate_t1,core_avg_gate_t1ce,core_avg_gate_t2,core_avg_gate_flair,boundary_avg_gate_t1,boundary_avg_gate_t1ce,boundary_avg_gate_t2,boundary_avg_gate_flair,peri_inner_avg_gate_t1,peri_inner_avg_gate_t1ce,peri_inner_avg_gate_t2,peri_inner_avg_gate_flair,peri_outer_avg_gate_t1,peri_outer_avg_gate_t1ce,peri_outer_avg_gate_t2,peri_outer_avg_gate_flair,distal_normal_avg_gate_t1,distal_normal_avg_gate_t1ce,distal_normal_avg_gate_t2,distal_normal_avg_gate_flair
missing_curriculum_seed42,MC,缺失模态课程训练,t2_t1,no_t1ce_with_t1,0.194,0.7837837837837838,0.6508620689655172,0.8787878787878788,1.0,0.0,0.5,0,8,0,29,,5.0,1.0,0.0,True,bias,"t1,t1ce,t2,flair",True,True,1.0,0.194,0.6490830805756755,0.0,0.3509169278515351,0.0,0.3448495913699672,0.0,0.655150405861236,0.0,0.5849465357290732,0.0,0.4150534811857584,0.0,0.7162386122587565,0.0,0.2837614002260002,0.0,0.7700988549638439,0.0,0.2299011551045082,0.0,0.8292818085567372,0.0,0.170718196880173,0.0
missing_curriculum_seed42,MC,缺失模态课程训练,t2_flair,no_t1ce_no_t1,0.2164999999999999,0.6756756756756757,0.7112068965517242,0.7692307692307693,0.6896551724137931,0.625,0.6573275862068966,5,3,9,20,,5.0,1.0,0.0,True,bias,"t1,t1ce,t2,flair",True,True,1.0,0.2164999999999999,0.0,0.0,0.2634807109816859,0.7365192986118633,0.0,0.0,0.8012288228507984,0.1987711896465437,0.0,0.0,0.3359944178326357,0.6640055968954757,0.0,0.0,0.129873641568977,0.8701263698371681,0.0,0.0,0.0493360051366687,0.9506640015421688,0.0,0.0,0.0009706675193495,0.99902933513796
missing_curriculum_seed42,MC,缺失模态课程训练,t1ce_t1,has_t1ce,0.4999999999999999,0.8648648648648649,0.7586206896551724,0.9206349206349206,1.0,0.375,0.6875,3,5,0,29,,5.0,1.0,0.0,True,bias,"t1,t1ce,t2,flair",True,True,1.0,0.4999999999999999,0.0896831004226314,0.910316908480348,0.0,0.0,0.097219550625157,0.9027804569215389,0.0,0.0,0.0802148605358184,0.9197851508050352,0.0,0.0,0.0980579053066809,0.9019421012820424,0.0,0.0,0.0990050699807832,0.9009949363566734,0.0,0.0,0.0739181156647175,0.9260818970364492,0.0,0.0
missing_curriculum_seed42,MC,缺失模态课程训练,t1ce_flair,has_t1ce,0.4999999999999999,0.918918918918919,0.7586206896551724,0.9508196721311476,1.0,0.625,0.8125,5,3,0,29,,5.0,1.0,0.0,True,bias,"t1,t1ce,t2,flair",True,True,1.0,0.4999999999999999,0.0,0.806152928964651,0.0,0.1938470805231437,0.0,0.9364006426688788,0.0,0.0635993712274297,0.0,0.9346432285131636,0.0,0.0653567791302375,0.0,0.8823086629948906,0.0,0.1176913439334823,0.0,0.7880151623205559,0.0,0.2119848454374032,0.0,0.4893969483257663,0.0,0.5106030628871661
missing_curriculum_seed42,MC,缺失模态课程训练,t1_flair,no_t1ce_with_t1,0.194,0.7027027027027027,0.7025862068965517,0.8253968253968254,0.896551724137931,0.0,0.4482758620689655,0,8,3,26,,5.0,1.0,0.0,True,bias,"t1,t1ce,t2,flair",True,True,1.0,0.194,0.3026129312397489,0.0,0.0,0.6973870740146251,0.7437867903075105,0.0,0.0,0.2562132073012558,0.3918588088158317,0.0,0.0,0.6081412007679811,0.237014067013169,0.0,0.0,0.7629859395123817,0.1355758655284975,0.0,0.0,0.8644241376503093,0.0048291245337358,0.0,0.0,0.9951708848411972
missing_curriculum_seed42,MC,缺失模态课程训练,t2_t1ce_t1,has_t1ce,0.4999999999999999,0.8918918918918919,0.7543103448275862,0.935483870967742,1.0,0.5,0.75,4,4,0,29,,5.0,1.0,0.0,True,bias,"t1,t1ce,t2,flair",True,True,1.0,0.4999999999999999,0.0683775592729765,0.8987181278474227,0.0329043232745246,0.0,0.0412354643574295,0.881739268620574,0.0770252765977351,0.0,0.0600043555467734,0.9055713403063852,0.0344243120691952,0.0,0.0843906383126778,0.8899315164701359,0.0256778583555231,0.0,0.0846047258535858,0.8931299039238209,0.0222653755526306,0.0,0.0716526122944158,0.9232186099161972,0.0051287937975389,0.0
missing_curriculum_seed42,MC,缺失模态课程训练,t2_t1ce_flair,has_t1ce,0.4999999999999999,0.918918918918919,0.7586206896551724,0.9508196721311476,1.0,0.625,0.8125,5,3,0,29,,5.0,1.0,0.0,True,bias,"t1,t1ce,t2,flair",True,True,1.0,0.4999999999999999,0.0,0.7880315595725118,0.0314990299660295,0.1804694199288229,0.0,0.8818015609616162,0.0926232083906087,0.0255752335554925,0.0,0.9081588660341662,0.041097515781522,0.0507436327725116,0.0,0.8754184190183878,0.0166470217417381,0.1079345669408329,0.0,0.7854217025577217,0.0068307386896847,0.207747579235772,0.0,0.4893572492906674,0.0002966652265938,0.5103460871395054
missing_curriculum_seed42,MC,缺失模态课程训练,t2_t1_flair,no_t1ce_with_t1,0.194,0.7837837837837838,0.7155172413793103,0.8666666666666667,0.896551724137931,0.375,0.6357758620689655,3,5,3,26,,5.0,1.0,0.0,True,bias,"t1,t1ce,t2,flair",True,True,1.0,0.194,0.1780792873669393,0.0,0.1854455995624758,0.6364751168010706,0.2741740453937972,0.0,0.5925844471675117,0.1332415121896947,0.2817663338501006,0.0,0.2174546204702425,0.5007790490179449,0.203900186103498,0.0,0.0805900532913919,0.7155097642460385,0.1257412532160398,0.0,0.0356417796013104,0.8386169712285738,0.0048146182712608,0.0,0.0009570972819227,0.9942282873231012
missing_curriculum_seed42,MC,缺失模态课程训练,t1ce_t1_flair,has_t1ce,0.4999999999999999,0.918918918918919,0.7586206896551724,0.9508196721311476,1.0,0.625,0.8125,5,3,0,29,,5.0,1.0,0.0,True,bias,"t1,t1ce,t2,flair",True,True,1.0,0.4999999999999999,0.0449300779063864,0.7794440673455569,0.0,0.1756258638521493,0.0814689970675843,0.8904432700695218,0.0,0.0280877498772286,0.0524011072262892,0.90080705733114,0.0,0.0467918461710283,0.0502759788478951,0.8525709724305449,0.0,0.097153051265758,0.036244862357169,0.7646425867553901,0.0,0.1991125633417264,0.0042594440329945,0.4887564501411878,0.0,0.5069841086050049
missing_curriculum_seed42,MC,缺失模态课程训练,t2_t1ce_t1_flair,has_t1ce,0.4999999999999999,0.918918918918919,0.7564655172413793,0.9508196721311476,1.0,0.625,0.8125,5,3,0,29,,5.0,1.0,0.0,True,bias,"t1,t1ce,t2,flair",True,True,1.0,0.4999999999999999,0.0322491114433119,0.7729231169699405,0.0235933651891982,0.1712344103174852,0.0341993567918208,0.872626091605304,0.0725003969413582,0.0206741534088763,0.0400170033114419,0.89120147160783,0.0268020965645881,0.041979439039635,0.0472225916299379,0.8494048624274295,0.0123267297096627,0.0910458258627833,0.0355555181398132,0.7627205403420974,0.006048930606937,0.1956750136226993,0.0042510873435459,0.4886626188670414,0.0002886721234452,0.5067976196534322
